addr,current_name,proposed_name,evidence_class,evidence,verdict,verifier_note
0x80086CF8,func_80086CF8,vmNoiseOn,libscan-near,UT_KEYV XREF `vmNoiseOn` -> EXE jal 0x80086CF8 = function start (the hunt guessed _SsVmKeyOn here by link order; the caller's XREF says vmNoiseOn). Retires alias AllocBukiRmd_helper_80086CF8.,CONFIRM,"verifier 2026-09-07: UT_KEYV +0x32C XREF `vmNoiseOn` (all 6 builds) -> EXE jal 0x80086CF8 = function start; sole caller in the image is func_80085A40. Body calls SpuSetNoiseClock + SpuSetNoiseVoice and touches _svm_cur (18 refs), _svm_voice, _svm_sreg_buf, _svm_sreg_dirty — a noise key-on, not an allocator. No body fit in any build (BB2's build of VM_NOISE is not among the six). Retire AllocBukiRmd_helper_80086CF8."
0x800872A4,func_800872A4,_SsVmKeyOnNow,libscan-near,UT_KEYV XREF `_SsVmKeyOnNow` -> EXE jal 0x800872A4 = function start (VM_NOWON; hunt PROBABLE by link order). Retires alias AllocBukiRmd_helper_800872A4.,CONFIRM,"verifier 2026-09-07: UT_KEYV +0x348 XREF `_SsVmKeyOnNow` (all 6 builds) -> EXE jal 0x800872A4 = function start (sole caller func_80085A40; VM_NOWOF ends at 0x800872A0 with `nop`, so it is the next linked module = VM_NOWON, matching Sony link order). Body: leaf, 26 _svm_cur refs, writes _svm_sreg_buf/_svm_sreg_dirty. Retire AllocBukiRmd_helper_800872A4."
0x80085FD8,func_80085FD8,SsUtGetDetVVol,libscan-near,"LIBSND/UT_VVOL 4.3 (16 words): 15/16 at 0x80085FD8, the only diff is the trailing pad word vs the next function's prologue; unique (second-best 9/16). XDEF at +0 = function start; XREF SpuGetVoiceVolume -> EXE jal 0x8008BD88 = SpuGetVoiceVolume (verified). C body (src/main.c:1020): if (voice < 24) SpuGetVoiceVolume(voice) else -1.",CONFIRM,"verifier 2026-09-07: Stronger than claimed: the SsUtGetDetVVol sub-function of UT_VVOL in 4.1, 4.2, 4.3, 4.4 places 0/14 at 0x80085FD8 (second-best 8); 4.3 UT_VVOL3 whole module 1/16 with the only diff the trailing pad vs func_80086014's prologue. XREF SpuGetVoiceVolume -> jal 0x8008BD88 = SpuGetVoiceVolume. C body passes voice (a1/a2 pointers fall through) to SpuGetVoiceVolume, else -1 = LIBSND.H `SsUtGetDetVVol(shor"
0x80086080,func_80086080,SsUtGetVVol,libscan-near,"LIBSND/UT_VVOL3 4.3 (44 words): 42/44, diffs = `jr ra`/`addiu sp` epilogue swap; unique (second-best 38). XDEF at +0 = function start; XREF SpuGetVoiceVolume OK.",CONFIRM,"verifier 2026-09-07: 4.3 UT_VVOL3 2/44 at 0x80086080 and 4.1 UT_VVOL:SsUtGetVVol sub-function 3/43 (second 37); diffs are the epilogue `jr ra`/`addiu sp,40` delay-slot order only. XDEF +0 = function start; XREF SpuGetVoiceVolume OK. C body divides both raw volumes by 129 = psyz ut_vvol.c SsUtGetVVol."
0x80086014,func_80086014,SsUtSetDetVVol,libscan-near,"LIBSND/UT_VVOL2 4.3 (28 words) 21/28 at 0x80086018 = function start + 4: BB2's build keeps a stack frame (addiu sp,-8 / +8) the 4.3 build dropped, and uses lui-at/lw-off addressing where 4.3 uses lui/addu/lw; every data ref agrees (_svm_sreg_buf 0x80102A78, _svm_sreg_dirty 0x800F65E0). C body (src/main.c:1028): if (idx<24) { sreg_buf[idx*8+1]=y; sreg_buf[idx*8]=x; dirty[idx]|=3; return 0 } — SsUtSetDetVVol's documented behaviour. Weakest near row: same-routine-different-build.",CONFIRM,"verifier 2026-09-07: Refuted the ""weakest row"" framing in the row's favour: the 4.0J/4.0U UT_VVOL `SsUtSetDetVVol` sub-function (26 words, XDEF +0x58) places **0/26 at exactly 0x80086014** (second-best 17 at 0x80086150), with the stack frame BB2 has; its HI/LO relocs resolve to _svm_sreg_buf 0x80102A78/+2 and _svm_sreg_dirty 0x800F65E0. The 4.3 7/28-at-+4 figure was just the frame-less later build. No other Sony funct"
0x80087D10,func_80087D10,_SsVmGetSeqLVol,libscan-near,"LIBSND/VM_SEQ_2 4.3 (36 words) 30/36 at 0x80087D10; the 6 diffs are the same lui/addu/lw vs lui-at/lw-off addressing form for _ss_score (0x80106F28, both halves); unique (second-best 28). XDEFs _SsVmGetSeqLVol +0 and _SsVmGetSeqRVol +0x48 land on the two function starts. C body reads _ss_score[seq]->+0x58.",CONFIRM,"verifier 2026-09-07: 4.0 VM_SEQ sub-function `_SsVmGetSeqLVol` (17w) 0/17 at 0x80087D10; `_SsVmGetSeqRVol` 0/17 at 0x80087D58; the L/R pair differ in exactly one word and the EXE has `lh v0,88(v1)` (0x58 = SeqStruct.vol_l per psyz) at 0x80087D4C. 4.3 VM_SEQ_2 30/36 diffs are all lui/addu/lw vs lui-at/lw-off for _ss_score 0x80106F28."
0x80087D58,func_80087D58,_SsVmGetSeqRVol,libscan-near,Second XDEF of the same VM_SEQ_2 placement (+0x48 = 0x80087D58 = function start); C body reads +0x5A (the R volume).,CONFIRM,"verifier 2026-09-07: Same placements; EXE `lh v0,90(v1)` (0x5A = vol_r) at 0x80087D94; XDEF +0x48 = function start; C body reads +0x5A."
0x8007A5C4,gpu_LoadClut256,LoadClut,libscan-desync,Glabel/aliases already VERIFIED LoadClut (libscan wave 2026-08-07) but the linked C definition in src is still named gpu_LoadClut256 (build/bb2.map object symbol). Same function; the C name is the live misnomer.,CONFIRM,verifier 2026-09-07: map object symbol gpu_LoadClut256; C def src/gpu.c:266; asm/funcs/LoadClut.s glabel LoadClut @8007A5C4; census VERIFIED (LIBGPU/EXT +0xEC); alias LoadClut=0x8007A5C4 only.
0x8007A62C,gpu_LoadClut16,LoadClut2,libscan-desync,C definition gpu_LoadClut16 vs VERIFIED glabel LoadClut2.,CONFIRM,verifier 2026-09-07: map gpu_LoadClut16; C def gpu.c:275; LoadClut2.s glabel @8007A62C; census VERIFIED; no other use.
0x8007A87C,ot_GetTag,NextPrim,libscan-desync,C definition ot_GetTag vs VERIFIED glabel NextPrim.,CONFIRM,verifier 2026-09-07: map ot_GetTag; C def gpu.c:340; NextPrim.s @8007A87C; VERIFIED (LIBGPU/PRIM +0xF4).
0x8007A898,ot_IsEnd,IsEndPrim,libscan-desync,C definition ot_IsEnd vs VERIFIED glabel IsEndPrim.,CONFIRM,verifier 2026-09-07: map ot_IsEnd; C def gpu.c:344; IsEndPrim.s @8007A898; VERIFIED.
0x8007EF1C,gte_SetColorMatrix,SetColorMatrix,libscan-desync,C definition gte_SetColorMatrix vs VERIFIED glabel SetColorMatrix.,CONFIRM,"verifier 2026-09-07: map gte_SetColorMatrix; the ""C definition"" is a whole-body `__asm__(""glabel gte_SetColorMatrix …"")` string at src/display.c:2284 with externs in text1b.c:1162 and text1b_b.c:134 — a rename must edit the asm string and any inline_asm_canonical.txt key, not a C signature. SetColorMatrix.s @8007EF1C; VERIFIED (LIBGTE/MTX_11)."
0x80083688,sys_GetVideoMode,GetVideoMode,libscan-desync,"C definition sys_GetVideoMode vs VERIFIED glabel GetVideoMode; three verbatim callers (LIBGPU/EXT, LIBGPU/SYS, LIBSND/SSTICK) XREF GetVideoMode -> 0x80083688.",CONFIRM,verifier 2026-09-07: map sys_GetVideoMode; C def src/ings2.c:573; GetVideoMode.s @80083688; VERIFIED; web.md shows GetVideoMode callers agree.
0x800848AC,spu_SetMotionState,_SsSndPause,libscan-desync,C definition spu_SetMotionState vs VERIFIED glabel _SsSndPause (PAUSE module verbatim at this address; SSCALL XREF agrees).,CONFIRM,verifier 2026-09-07: map spu_SetMotionState; C def main.c:316 (proto :237 carries `/* _SsSndPause */`); _SsSndPause.s @800848AC; PAUSE 0/39 verbatim here (my scan); no reverse alias exists in named_syms (the only non-comment use of the name is the .s glabel).
0x80084948,spu_SetMotionCallback,_SsSndPlay,libscan-desync,C definition spu_SetMotionCallback vs VERIFIED glabel _SsSndPlay (PLAY verbatim; SSCALL XREF agrees).,CONFIRM,verifier 2026-09-07: map spu_SetMotionCallback; C def main.c:329; _SsSndPlay.s @80084948; VERIFIED RESOLVED_LAYOUT.
0x80085064,spu_ReadMotionFrame,_SsReadDeltaValue,libscan-desync,C definition spu_ReadMotionFrame vs VERIFIED glabel _SsReadDeltaValue (MIDITIME verbatim).,CONFIRM,verifier 2026-09-07: map spu_ReadMotionFrame; C def main.c:576; _SsReadDeltaValue.s @80085064; VERIFIED (MIDITIME).
0x80085114,spu_ResetMotionEntry,_SsSndNextSep,libscan-desync,C definition spu_ResetMotionEntry vs VERIFIED glabel _SsSndNextSep (NEXT verbatim).,CONFIRM,verifier 2026-09-07: map spu_ResetMotionEntry; C def main.c:608; _SsSndNextSep.s @80085114; VERIFIED (NEXT).
0x80085210,spu_SetMotionActive,_SsSndReplay,libscan-desync,C definition spu_SetMotionActive vs VERIFIED glabel _SsSndReplay (REPLAY verbatim; SSCALL XREF agrees).,CONFIRM,verifier 2026-09-07: map spu_SetMotionActive; C def main.c:627; _SsSndReplay.s @80085210; VERIFIED (REPLAY); no reverse alias in named_syms.
0x800885CC,spu_InitEx,_SpuInit,libscan-desync,C definition spu_InitEx vs VERIFIED glabel _SpuInit (S_I module SpuInit XREF _SpuInit -> 0x800885CC).,CONFIRM,verifier 2026-09-07: map spu_InitEx; C def main.c:1547; _SpuInit.s @800885CC; VERIFIED (S_INI +0).
0x800886C4,spu_InitIrq,SpuStart,libscan-desync,C definition spu_InitIrq vs VERIFIED glabel SpuStart.,CONFIRM,verifier 2026-09-07: map spu_InitIrq; C def main.c:1588; SpuStart.s @800886C4; VERIFIED (S_INI +0xF8).
0x80088F9C,spu_TransferData,_spu_Fw,libscan-desync,C definition spu_TransferData vs VERIFIED glabel _spu_Fw (S_W SpuWrite XREF _spu_Fw -> 0x80088F9C).,CONFIRM,verifier 2026-09-07: map spu_TransferData; C def main.c:1848; _spu_Fw.s @80088F9C; VERIFIED (SPU +0x85C).
0x80089024,spu_TransferDirect,_spu_Fr,libscan-desync,C definition spu_TransferDirect vs VERIFIED glabel _spu_Fr.,CONFIRM,verifier 2026-09-07: map spu_TransferDirect; C def main.c:1858; _spu_Fr.s @80089024; VERIFIED (SPU +0x8E4).
0x800892D4,spu_SetCallback,_SpuDataCallback,libscan-desync,C definition spu_SetCallback vs VERIFIED glabel _SpuDataCallback (S_INI and S_Q XREF _SpuDataCallback -> 0x800892D4).,CONFIRM,verifier 2026-09-07: map spu_SetCallback; C def main.c:1919; _SpuDataCallback.s @800892D4; VERIFIED (S_DCB).
0x800899A8,spu_DmaTransfer,SpuFree,libscan-desync,C definition spu_DmaTransfer vs VERIFIED glabel SpuFree (VS_VAB XREF SpuFree -> 0x800899A8).,CONFIRM,verifier 2026-09-07: map spu_DmaTransfer; C def main.c:2074 (comment :2072 already says SpuFree); SpuFree.s @800899A8; VERIFIED (S_M_F).
0x80087CAC,func_80087CAC,_SsVmGetSeqVol,libscan-near,"4.0J LIBSND/VM_SEQ XDEF sub-function _SsVmGetSeqVol (24 words) places 0/24 at 0x80087CAC = function start, unique (second-best 16). Its callers per psyz are _SsSndCrescendo/_SsSndDecrescendo (0x800841E0/0x80084500 above), and the alias dispstuff_helper_80087CAC's own comment already recorded those two callers. Retires that alias.",CONFIRM,"found and re-derived by the verifier (round 1, 'extra candidate'); orchestrator re-placed independently: 40J/VM_SEQ _SsVmGetSeqVol 25 words (incl. trailing pad) 0/25 at 0x80087CAC, best=0x80087CAC, second-best 0x80087D54 at 17 mismatches; 4.1/4.3 builds 3/25 at the same address"
