addr,current_names,proposed_name,kind,evidence,verdict,verifier_note
0x800A2634,g_sys_dma_region;g_irq_vsync_counter;D_800A2634,Vcount,base,"HI16/LO16 XREF `Vcount` (base, offsets +0) resolved to 0x800A2634 by 1 accepted verbatim module(s): LIBETC/VSYNC@0x800828CC",CONFIRM,"verifier 2026-09-07: resolver=manifest; mods=1 offs=['0x0']; current=g_sys_dma_region/g_irq_vsync_counter/D_800A2634; LIBETC/VSYNC reloc; ings2.c VSync(-1) returns it, v_wait spins on it, irq_vsync_handler increments it — Vcount confirmed. TWO aliases exist: g_sys_dma_region (5 refs, misnomer) and g_irq_vsync_counter (0"
0x80106FA8,g_char_p19_field_388;D_80106FA8,_SsMarkCallback,base,"HI16/LO16 XREF `_SsMarkCallback` (base, offsets +0) resolved to 0x80106FA8 by 1 accepted verbatim module(s): LIBSND/SSINIT@0x80083A48",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=1 offs=['0x0']; current=g_char_p19_field_388/D_80106FA8; g_char_p19_field_388 (0 refs) is a false game claim; D_80106FA8 only referenced by _SsInit / ings2.c
0x80101BCC,g_memcard_slot;D_80101BCC,_SsVmMaxVoice,base,"HI16/LO16 XREF `_SsVmMaxVoice` (base, offsets +0) resolved to 0x80101BCC by 1 accepted verbatim module(s): LIBSND/VS_SRV@0x80087F34",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=1 offs=['0x0']; current=g_memcard_slot/D_80101BCC; g_memcard_slot is WRONG: main.c uses it as the voice-count bound in _SsVmSeqKeyOff loop and it is set by SsSetReservedVoice (1..24) — exactly _SsVmMaxVoice semantics. `_SsVmMaxVoice` not otherwise defined (only _SsVmFlush in 
0x8009BD8C,,_ctype_,base,NO registry symbol at 0x8009BD8C; referenced via HI16/LO16 XREF `_ctype_` by 2 accepted verbatim module(s): LIBC2/PRNT@0x80079244; LIBC2/PUTCHAR@0x8007997C,SKIP,nothing to retire; not applied
0x80103680,g_gpu_packet_queue_base;D_80103680,_que,base,"HI16/LO16 XREF `_que` (base, offsets 0x4, 0x8, 0xC) resolved to 0x80103680 by 1 accepted verbatim module(s): LIBGPU/SYS@0x8007AE7C",CONFIRM,"verifier 2026-09-07: resolver=manifest; mods=1 offs=['0x0', '0x4', '0x8', '0xc']; current=g_gpu_packet_queue_base/D_80103680; LIBGPU/SYS refs offsets 0/4/8/C; g_gpu_packet_queue_base (0 refs) is a misnomer; gpu.h uses D_80103680. No `_que` identifier elsewhere"
0x80103684,g_gpu_packet_buffer_64x96;D_80103684,_que_plus_0x4,offset,module relocation `(0x4+sym:_que)` -> 0x80103684; the existing symbol(s) here are field-level claims inside _que,CONFIRM,verifier 2026-09-07: resolver=manifest; refs=1 by ['LIBGPU/SYS@0x8007AE7C']; current=g_gpu_packet_buffer_64x96/D_80103684; field of _que; g_gpu_packet_buffer_64x96 (0 refs) contradicted
0x80103688,g_gpu_packet_buffer_64x96_plus_4;D_80103688,_que_plus_0x8,offset,module relocation `(0x8+sym:_que)` -> 0x80103688; the existing symbol(s) here are field-level claims inside _que,CONFIRM,verifier 2026-09-07: resolver=manifest; refs=1 by ['LIBGPU/SYS@0x8007AE7C']; current=g_gpu_packet_buffer_64x96_plus_4/D_80103688; field of _que; g_gpu_packet_buffer_64x96_plus_4 contradicted
0x8010368C,g_gpu_packet_buffer_data_8010368C;D_8010368C,_que_plus_0xC,offset,module relocation `(0xC+sym:_que)` -> 0x8010368C; the existing symbol(s) here are field-level claims inside _que,CONFIRM,verifier 2026-09-07: resolver=manifest; refs=1 by ['LIBGPU/SYS@0x8007AE7C']; current=g_gpu_packet_buffer_data_8010368C/D_8010368C; field of _que; g_gpu_packet_buffer_data_8010368C contradicted
0x800FF630,g_ings2_counter_FF630;D_800FF630,_snd_ev_flag,base,"HI16/LO16 XREF `_snd_ev_flag` (base, offsets +0) resolved to 0x800FF630 by 2 accepted verbatim module(s): LIBSND/SSCALL@0x80083F6C; LIBSND/SSINIT@0x80083A48",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=2 offs=['0x0']; current=g_ings2_counter_FF630/D_800FF630; main.c:227 already annotates D_800FF630 as _snd_ev_flag; g_ings2_counter_FF630 (0 refs) is a placeholder
0x801027E4,g_char_curr_keyframe_idx_p3;D_801027E4,_snd_openflag,base,"HI16/LO16 XREF `_snd_openflag` (base, offsets +0) resolved to 0x801027E4 by 2 accepted verbatim module(s): LIBSND/SSCALL@0x80083F6C; LIBSND/SSINIT@0x80083A48",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=2 offs=['0x0']; current=g_char_curr_keyframe_idx_p3/D_801027E4; main.c:230 already annotates D_801027E4 as _snd_openflag; g_char_curr_keyframe_idx_p3 (0 refs) is a false game claim
0x801077A8,D_801077A8,_snd_seq_s_max,base,"HI16/LO16 XREF `_snd_seq_s_max` (base, offsets +0) resolved to 0x801077A8 by 1 accepted verbatim module(s): LIBSND/SSCALL@0x80083F6C",CONFIRM,"verifier 2026-09-07: resolver=manifest; mods=1 offs=['0x0']; current=D_801077A8; main.c:228 `extern s16 D_801077A8; /* _snd_seq_s_max */` — consistent (s16, 2-byte spacing to t_max)"
0x801077AA,D_801077AA,_snd_seq_t_max,base,"HI16/LO16 XREF `_snd_seq_t_max` (base, offsets +0) resolved to 0x801077AA by 1 accepted verbatim module(s): LIBSND/SSCALL@0x80083F6C",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=1 offs=['0x0']; current=D_801077AA; main.c:229 `extern s16 D_801077AA; /* _snd_seq_t_max */` — consistent
0x800A26CC,g_blood_spot_pos;D_800A26CC,_snd_seq_tick_env,base,"HI16/LO16 XREF `_snd_seq_tick_env` (base, offsets 0x10, 0x11, 0x12, 0x4, 0xC) resolved to 0x800A26CC by 2 accepted verbatim module(s): LIBSND/SSEND@0x80083954; LIBSND/SSTICK@0x80085544",CONFIRM,"verifier 2026-09-07: resolver=manifest; mods=2 offs=['0x0', '0x10', '0x11', '0x12', '0x4', '0xc']; current=g_blood_spot_pos/D_800A26CC; SSEND+SSTICK refs offsets 0/4/C/10/11/12; main.c:128 already documents SndSeqTickEnv @ 0x800A26CC; g_blood_spot_pos (0 refs; named_syms says 'written by SetBloodSpot') is a false game c"
0x800A26D0,g_alarm_armed_flag;D_800A26D0,_snd_seq_tick_env_plus_0x4,offset,module relocation `(0x4+sym:_snd_seq_tick_env)` -> 0x800A26D0; the existing symbol(s) here are field-level claims inside _snd_seq_tick_env,CONFIRM,"verifier 2026-09-07: resolver=manifest; refs=2 by ['LIBSND/SSEND@0x80083954', 'LIBSND/SSTICK@0x80085544']; current=g_alarm_armed_flag/D_800A26D0; SsEnd early-returns when this is nonzero (ings2.c:689) = tick-env mode/enable field; g_alarm_armed_flag is a false game claim, contradicted"
0x800A26D8,g_alarm_callback_ptr;D_800A26D8,_snd_seq_tick_env_plus_0xC,offset,module relocation `(0xC+sym:_snd_seq_tick_env)` -> 0x800A26D8; the existing symbol(s) here are field-level claims inside _snd_seq_tick_env,CONFIRM,verifier 2026-09-07: resolver=manifest; refs=1 by ['LIBSND/SSEND@0x80083954']; current=g_alarm_callback_ptr/D_800A26D8; SsEnd/_SsStart field; g_alarm_callback_ptr contradicted
0x800A26DC,g_alarm_callback_pending;D_800A26DC,_snd_seq_tick_env_plus_0x10,offset,module relocation `(0x10+sym:_snd_seq_tick_env)` -> 0x800A26DC; the existing symbol(s) here are field-level claims inside _snd_seq_tick_env,CONFIRM,verifier 2026-09-07: resolver=manifest; refs=1 by ['LIBSND/SSEND@0x80083954']; current=g_alarm_callback_pending/D_800A26DC; SsEnd clears it after VSyncCallback(0) — the vsync-hooked flag; g_alarm_callback_pending contradicted
0x800A26DD,g_alarm_callback_pending_plus_1;D_800A26DD,_snd_seq_tick_env_plus_0x11,offset,module relocation `(0x11+sym:_snd_seq_tick_env)` -> 0x800A26DD; the existing symbol(s) here are field-level claims inside _snd_seq_tick_env,CONFIRM,verifier 2026-09-07: resolver=manifest; refs=1 by ['LIBSND/SSEND@0x80083954']; current=g_alarm_callback_pending_plus_1/D_800A26DD; SsEnd byte field; g_alarm_callback_pending_plus_1 contradicted
0x800A26DE,g_alarm_active_sentinel;D_800A26DE,_snd_seq_tick_env_plus_0x12,offset,module relocation `(0x12+sym:_snd_seq_tick_env)` -> 0x800A26DE; the existing symbol(s) here are field-level claims inside _snd_seq_tick_env,CONFIRM,verifier 2026-09-07: resolver=manifest; refs=1 by ['LIBSND/SSEND@0x80083954']; current=g_alarm_active_sentinel/D_800A26DE; SsEnd compares with 0x7F; g_alarm_active_sentinel contradicted
0x800A2D38,g_spu_voice_key_a;D_800A2D38,_spu_AllocBlockNum,base,"HI16/LO16 XREF `_spu_AllocBlockNum` (base, offsets +0) resolved to 0x800A2D38 by 4 accepted verbatim module(s): LIBSPU/S_INI@0x800885CC; LIBSPU/S_M_F@0x800899A8; LIBSPU/S_M_INIT@0x80089384; LIBSPU/S_M_M@0x800893D8",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=4 offs=['0x0']; current=g_spu_voice_key_a/D_800A2D38; SpuInitMalloc stores `num` here and SpuMalloc bounds its loops by it — AllocBlockNum semantics; g_spu_voice_key_a is wrong
0x800A2D3C,g_spu_voice_key_b;D_800A2D3C,_spu_AllocLastNum,base,"HI16/LO16 XREF `_spu_AllocLastNum` (base, offsets +0) resolved to 0x800A2D3C by 4 accepted verbatim module(s): LIBSPU/S_INI@0x800885CC; LIBSPU/S_M_INIT@0x80089384; LIBSPU/S_M_INT@0x800896A0; LIBSPU/S_M_M@0x800893D8",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=4 offs=['0x0']; current=g_spu_voice_key_b/D_800A2D3C; SpuMalloc/_spu_gcSPU use it as the last-record index (psyq-provenance-2026-08-18.md maps it); g_spu_voice_key_b is wrong
0x800A2870,g_snd_irq_handle;D_800A2870,_spu_EVdma,base,"HI16/LO16 XREF `_spu_EVdma` (base, offsets +0) resolved to 0x800A2870 by 3 accepted verbatim module(s): LIBSPU/S_CRWA@0x8008A928; LIBSPU/S_ITC@0x8008AEB0; LIBSPU/S_Q@0x800892F8",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=3 offs=['0x0']; current=g_snd_irq_handle/D_800A2870; OpenEvent handle: CloseEvent/DisableEvent/TestEvent(g_snd_irq_handle) in main.c — EVdma confirmed
0x800A2D18,g_spu_timer;D_800A2D18,_spu_IRQCallback,base,"HI16/LO16 XREF `_spu_IRQCallback` (base, offsets +0) resolved to 0x800A2D18 by 1 accepted verbatim module(s): LIBSPU/S_Q@0x800892F8",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=1 offs=['0x0']; current=g_spu_timer/D_800A2D18; main.c:1924 comment already maps g_spu_timer = _spu_IRQCallback; declared as volatile fn-ptr — consistent
0x800F7420,g_spu_reg_pair;D_800F7420,_spu_RQ,base,"HI16/LO16 XREF `_spu_RQ` (base, offsets 0x2, 0x4, 0x6) resolved to 0x800F7420 by 2 accepted verbatim module(s): LIBSPU/SPU@0x80088740; LIBSPU/S_SK@0x8008AAD4",CONFIRM,"verifier 2026-09-07: resolver=manifest; mods=2 offs=['0x0', '0x2', '0x4', '0x6']; current=g_spu_reg_pair/D_800F7420; S_SK+SPU refs offsets 0/2/4/6; main.c:95-98 declares `volatile u16 D_800F7420[10] /* _spu_RQ */`; volatile_extern_allowlist.txt:50-51 documents D_800F7424 = _spu_RQ+4 — the wave must keep the allowlist en"
0x800F7422,D_800F7422,_spu_RQ_plus_0x2,offset,module relocation `(0x2+sym:_spu_RQ)` -> 0x800F7422; the existing symbol(s) here are field-level claims inside _spu_RQ,CONFIRM,verifier 2026-09-07: resolver=manifest; refs=1 by ['LIBSPU/S_SK@0x8008AAD4']; current=D_800F7422; u16 element of _spu_RQ; only D_800F7422 (0 refs)
0x800F7424,g_spu_reg_pair_b;D_800F7424,_spu_RQ_plus_0x4,offset,module relocation `(0x4+sym:_spu_RQ)` -> 0x800F7424; the existing symbol(s) here are field-level claims inside _spu_RQ,CONFIRM,verifier 2026-09-07: resolver=manifest; refs=1 by ['LIBSPU/S_SK@0x8008AAD4']; current=g_spu_reg_pair_b/D_800F7424; documented in volatile_extern_allowlist.txt:51 as _spu_RQ+4; g_spu_reg_pair_b (0 refs) retires
0x800F7426,D_800F7426,_spu_RQ_plus_0x6,offset,module relocation `(0x6+sym:_spu_RQ)` -> 0x800F7426; the existing symbol(s) here are field-level claims inside _spu_RQ,CONFIRM,verifier 2026-09-07: resolver=manifest; refs=1 by ['LIBSPU/S_SK@0x8008AAD4']; current=D_800F7426; u16 element of _spu_RQ; only D_800F7426 (0 refs)
0x800A28A0,g_spu_voice_mask;D_800A28A0,_spu_RQmask,base,"HI16/LO16 XREF `_spu_RQmask` (base, offsets +0) resolved to 0x800A28A0 by 1 accepted verbatim module(s): LIBSPU/S_SK@0x8008AAD4",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=1 offs=['0x0']; current=g_spu_voice_mask/D_800A28A0; volatile_extern_allowlist.txt:52 already labels D_800A28A0 as _spu_RQmask
0x800A289C,g_main_flags_bitmask_reg;D_800A289C,_spu_RQvoice,base,"HI16/LO16 XREF `_spu_RQvoice` (base, offsets +0) resolved to 0x800A289C by 1 accepted verbatim module(s): LIBSPU/S_SK@0x8008AAD4",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=1 offs=['0x0']; current=g_main_flags_bitmask_reg/D_800A289C; main.c:51 already annotates D_800A289C as _spu_RQvoice (Ruling-4 grant); g_main_flags_bitmask_reg is a false claim
0x800A2CDC,g_spu_base_addr;D_800A2CDC,_spu_RXX,base,"HI16/LO16 XREF `_spu_RXX` (base, offsets +0) resolved to 0x800A2CDC by 10 accepted verbatim module(s): LIBSPU/SR_GAKS@0x8008B330; LIBSPU/S_GKS@0x8008ACD0; LIBSPU/S_GVEX@0x8008BDE8; LIBSPU/S_GVV@0x8008BD88; LIBSPU/S_SCA@0x8008AF9C; LIBSPU/S_SK@0x8008AAD4; LIBSPU/S_SNC@0x80089D10; LIBSPU/S_SR@0x80089D60;",CONFIRM,"verifier 2026-09-07: resolver=manifest; mods=10 offs=['0x0']; current=g_spu_base_addr/D_800A2CDC; 10 modules agree; main.c uses g_spu_base_addr + 0x1AA (SPUCNT), +0x1C0.. (voice regs) as the SPU register base — exactly Sony's `union SpuUnion *_spu_RXX`; no contradiction"
0x800A2CD4,g_spu_pending_irq_mask;D_800A2CD4,_spu_env,base,"HI16/LO16 XREF `_spu_env` (base, offsets +0) resolved to 0x800A2CD4 by 1 accepted verbatim module(s): LIBSPU/S_SK@0x8008AAD4",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=1 offs=['0x0']; current=g_spu_pending_irq_mask/D_800A2CD4; volatile_extern_allowlist.txt:53 already labels it _spu_env; g_spu_pending_irq_mask is wrong
0x800A2CD8,g_snd_init_flag;D_800A2CD8,_spu_isCalled,base,"HI16/LO16 XREF `_spu_isCalled` (base, offsets +0) resolved to 0x800A2CD8 by 1 accepted verbatim module(s): LIBSPU/S_Q@0x800892F8",CONFIRM,"verifier 2026-09-07: resolver=manifest; mods=1 offs=['0x0']; current=g_snd_init_flag/D_800A2CD8; SpuStart/SpuQuit set/clear it (main.c:1590-1931, comment names _spu_isCalled) — g_snd_init_flag is a near-synonym but Sony name wins"
0x800A2874,g_spu_xfer_mask;D_800A2874,_spu_keystat,base,"HI16/LO16 XREF `_spu_keystat` (base, offsets +0) resolved to 0x800A2874 by 3 accepted verbatim module(s): LIBSPU/SR_GAKS@0x8008B330; LIBSPU/S_GKS@0x8008ACD0; LIBSPU/S_SK@0x8008AAD4",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=3 offs=['0x0']; current=g_spu_xfer_mask/D_800A2874; keyed by SpuSetKey/SpuGetKeyStatus modules; g_spu_xfer_mask is wrong
0x800A2D40,g_spu_voice_key_c;D_800A2D40,_spu_memList,base,"HI16/LO16 XREF `_spu_memList` (base, offsets +0) resolved to 0x800A2D40 by 6 accepted verbatim module(s): LIBSPU/S_INI@0x800885CC; LIBSPU/S_M_F@0x800899A8; LIBSPU/S_M_INIT@0x80089384; LIBSPU/S_M_INT@0x800896A0; LIBSPU/S_M_M@0x800893D8; LIBSPU/S_M_UTIL@0x80089E30",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=6 offs=['0x0']; current=g_spu_voice_key_c/D_800A2D40; COLLISION: src/main.c:1981 `#define _spu_memList ((SpuMemRec *)g_spu_voice_key_c)` — the rename tool must delete/rewrite that macro (a blind rename yields a self-referential #define). Also g_spu_voice_key_c is declared `s3
0x800A2D04,g_spu_addr_shift;D_800A2D04,_spu_mem_mode_plus,base,"HI16/LO16 XREF `_spu_mem_mode_plus` (base, offsets +0) resolved to 0x800A2D04 by 5 accepted verbatim module(s): LIBSPU/S_CRWA@0x8008A928; LIBSPU/S_M_INIT@0x80089384; LIBSPU/S_M_M@0x800893D8; LIBSPU/S_M_UTIL@0x80089E30; LIBSPU/S_STSA@0x8008AE24",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=5 offs=['0x0']; current=g_spu_addr_shift/D_800A2D04; used as the SPU address shift (`<< g_spu_addr_shift`) — Sony's mem_mode_plus IS that shift; consistent
0x800A2D0C,g_spu_init_mask;D_800A2D0C,_spu_mem_mode_unitM,base,"HI16/LO16 XREF `_spu_mem_mode_unitM` (base, offsets +0) resolved to 0x800A2D0C by 1 accepted verbatim module(s): LIBSPU/S_M_M@0x800893D8",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=1 offs=['0x0']; current=g_spu_init_mask/D_800A2D0C; S_M_M ref; g_spu_init_mask (0 refs) is a guess
0x800A2888,D_800A2888,_spu_rev_attr,base,"HI16/LO16 XREF `_spu_rev_attr` (base, offsets 0x10, 0x4, 0x8, 0xA, 0xC) resolved to 0x800A2888 by 1 accepted verbatim module(s): LIBSPU/S_SRMP@0x80089F3C",CONFIRM,"verifier 2026-09-07: resolver=manifest; mods=1 offs=['0x10', '0x4', '0x8', '0xa', '0xc']; current=D_800A2888; S_SRMP refs offsets 4/8/A/C/10; main.c:2265-2277 already declares `extern SpuRevAttr D_800A2888; /* _spu_rev_attr */` — consistent"
0x800A288C,g_spu_voice_alloc_offset_plus_8;D_800A288C,_spu_rev_attr_plus_0x4,offset,module relocation `(0x4+sym:_spu_rev_attr)` -> 0x800A288C; the existing symbol(s) here are field-level claims inside _spu_rev_attr,CONFIRM,verifier 2026-09-07: resolver=manifest; refs=1 by ['LIBSPU/S_SRMP@0x80089F3C']; current=g_spu_voice_alloc_offset_plus_8/D_800A288C; SpuReverbAttr.mode; g_spu_voice_alloc_offset_plus_8 contradicted
0x800A2890,g_spu_voice_alloc_offset_plus_8_plus_4;D_800A2890,_spu_rev_attr_plus_0x8,offset,module relocation `(0x8+sym:_spu_rev_attr)` -> 0x800A2890; the existing symbol(s) here are field-level claims inside _spu_rev_attr,CONFIRM,verifier 2026-09-07: resolver=manifest; refs=1 by ['LIBSPU/S_SRMP@0x80089F3C']; current=g_spu_voice_alloc_offset_plus_8_plus_4/D_800A2890; SpuReverbAttr.depth.left; contradicted
0x800A2892,g_spu_voice_alloc_offset_plus_8_plus_6;D_800A2892,_spu_rev_attr_plus_0xA,offset,module relocation `(0xA+sym:_spu_rev_attr)` -> 0x800A2892; the existing symbol(s) here are field-level claims inside _spu_rev_attr,CONFIRM,verifier 2026-09-07: resolver=manifest; refs=1 by ['LIBSPU/S_SRMP@0x80089F3C']; current=g_spu_voice_alloc_offset_plus_8_plus_6/D_800A2892; SpuReverbAttr.depth.right; contradicted
0x800A2894,g_spu_voice_alloc_offset_plus_8_plus_8;D_800A2894,_spu_rev_attr_plus_0xC,offset,module relocation `(0xC+sym:_spu_rev_attr)` -> 0x800A2894; the existing symbol(s) here are field-level claims inside _spu_rev_attr,CONFIRM,verifier 2026-09-07: resolver=manifest; refs=1 by ['LIBSPU/S_SRMP@0x80089F3C']; current=g_spu_voice_alloc_offset_plus_8_plus_8/D_800A2894; SpuReverbAttr.delay; contradicted
0x800A2898,g_spu_voice_alloc_offset_plus_8_plus_12;D_800A2898,_spu_rev_attr_plus_0x10,offset,module relocation `(0x10+sym:_spu_rev_attr)` -> 0x800A2898; the existing symbol(s) here are field-level claims inside _spu_rev_attr,CONFIRM,verifier 2026-09-07: resolver=manifest; refs=1 by ['LIBSPU/S_SRMP@0x80089F3C']; current=g_spu_voice_alloc_offset_plus_8_plus_12/D_800A2898; SpuReverbAttr.feedback; contradicted
0x800A287C,g_spu_xfer_callback_arg;D_800A287C,_spu_rev_flag,base,"HI16/LO16 XREF `_spu_rev_flag` (base, offsets +0) resolved to 0x800A287C by 1 accepted verbatim module(s): LIBSPU/S_SR@0x80089D60",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=1 offs=['0x0']; current=g_spu_xfer_callback_arg/D_800A287C; SpuSetReverb module; g_spu_xfer_callback_arg is wrong
0x800A2884,g_spu_voice_alloc_offset;D_800A2884,_spu_rev_offsetaddr,base,"HI16/LO16 XREF `_spu_rev_offsetaddr` (base, offsets +0) resolved to 0x800A2884 by 3 accepted verbatim module(s): LIBSPU/S_M_M@0x800893D8; LIBSPU/S_SR@0x80089D60; LIBSPU/S_SRMP@0x80089F3C",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=3 offs=['0x0']; current=g_spu_voice_alloc_offset/D_800A2884; S_M_M/S_SR/S_SRMP; current g_spu_voice_alloc_offset is wrong (it is the reverb work-area offset address)
0x800A2D94,,_spu_rev_param,base,NO registry symbol at 0x800A2D94; referenced via HI16/LO16 XREF `_spu_rev_param` by 1 accepted verbatim module(s): LIBSPU/S_SRMP@0x80089F3C,SKIP,nothing to retire; not applied
