# known_blocked.txt -- functions permanently blocked from C decompilation.
#
# Each line: <func>  <reason>  <evidence>
#
# These functions use instructions or patterns that GCC 2.7.2 + ASPSX cannot
# emit from C source. They will remain inline asm forever. Auto-loaded by
# tools/classify_func.py and filtered out by the work-queue generator.
#
# Reason codes (also auto-detected by classify_func.detect_permanent_blockers):
#   break_instruction       non-GCC-div-guard break <code>; GCC's normal
#                           signed division emits break 7 / break 6 and those
#                           do NOT belong here.
#   handwritten_overflow_op add/sub/addi (overflow-trap variants); GCC emits
#                           addu/subu/addiu by default. Requires inline asm.
#   sp_manipulation         direct $sp swap or context restore (not
#                           prologue/epilogue). C has no way to take/set the
#                           stack pointer.
#   no_return_fragment      no `jr $ra` in body; orphaned code or fall-through
#                           data-as-code that must remain in .text verbatim.
#   data_as_code            instructions are actually a constant table accessed
#                           via mid-function alabels; semantically data, not code.
#   bios_jumptable_call     BIOS/kernel helper with inline handler/data tail
#                           that cannot be represented as one C function.
#   cop0_op                 mtc0/mfc0/ctc0/cfc0/rfe/tlbXX — system control
#                           coprocessor. No C primitive; requires inline asm.
#
# To remove an entry: only do so if you've actually decompiled the function
# to pure C and it builds. Don't delete just because a future GCC has the
# right builtin -- our toolchain is pinned to 2.7.2.

# --- break instruction (trap with code) ---
func_800164F8   break_instruction        break 1; 10000-iter countdown loop
# documented). All currently inline_asm in src/. The 0x8004A348-0x80054440 block
# is a handwritten fixed-point/saturating math library — every function uses
# overflow-trap add/sub/addi (GCC emits the unsigned variants by default).
func_8004A348   handwritten_overflow_op  add $t0,$t0,$t0; text1b.c math lib
func_8004A4E0   handwritten_overflow_op  addi $s0,$s0,0x4; text1b.c math lib
func_8004A808   handwritten_overflow_op  add $a0,$a0,$a0; text1b.c math lib
func_8004A940   handwritten_overflow_op  sub $t3,$t3,$t6; text1b.c math lib (1162 insns)
func_8004BB68   handwritten_overflow_op  addi $s4,$s4,0x20; text1b.c math lib
func_8004BCC0   handwritten_overflow_op  addi $a0,$a0,-0x1; text1b.c math lib
func_8004C1F4   handwritten_overflow_op  addi $s4,$s4,0x28; text1b.c math lib
func_8004C404   handwritten_overflow_op  sub $t0,$t0,$s4; text1b.c math lib
func_8004C994   handwritten_overflow_op  addi $a3,$a3,-0x1; text1b.c math lib
func_8004CB8C   handwritten_overflow_op  addi $a3,$a3,-0x1; text1b.c math lib
func_8004CDB0   handwritten_overflow_op  addi $a3,$a3,-0x1; text1b.c math lib
func_8004CFE0   handwritten_overflow_op  addi $a3,$a3,-0x1; text1b.c math lib
func_8004D244   handwritten_overflow_op  addi $v0,$v0,-0x1000; text1b.c math lib
func_8004D424   handwritten_overflow_op  add $a0,$a0,$a1; text1b.c math lib
func_8004D634   handwritten_overflow_op  addi $v0,$v0,-0x1000; text1b.c math lib
func_8004D838   handwritten_overflow_op  add $a0,$a0,$a1; text1b.c math lib
func_8004DA74   handwritten_overflow_op  addi $s0,$s0,0x4; text1b.c math lib
func_8004DDB4   handwritten_overflow_op  addi $s4,$s6,0x224; text1b.c math lib
func_8004E574   handwritten_overflow_op  add $t4,$t4,$t0; text1b.c math lib
func_8004E7E4   handwritten_overflow_op  add $a0,$a0,$a1; text1b.c math lib
func_8004EAC8   handwritten_overflow_op  add $t1,$t1,$t0; text1b.c math lib
func_8004ECC8   handwritten_overflow_op  add $a0,$a0,$a1; text1b.c math lib
func_8004EF10   handwritten_overflow_op  addi $a3,$a3,-0x1; text1b.c math lib
func_8004F0FC   handwritten_overflow_op  addi $a3,$a3,-0x1; text1b.c math lib
func_8004F314   handwritten_overflow_op  addi $a3,$a3,-0x1; text1b.c math lib
func_8004F53C   handwritten_overflow_op  addi $a3,$a3,-0x1; text1b.c math lib
func_8004F798   handwritten_overflow_op  addi $v0,$v0,-0x1000; text1b.c math lib
func_8004F970   handwritten_overflow_op  add $a0,$a0,$a1; text1b.c math lib
func_8004FB74   handwritten_overflow_op  addi $v0,$v0,-0x1000; text1b.c math lib
func_8004FD40   handwritten_overflow_op  add $a0,$a0,$a1; text1b.c math lib
func_8004FF40   handwritten_overflow_op  addi $v0,$v0,-0x1000; text1b.c math lib
func_80050120   handwritten_overflow_op  add $a0,$a0,$a1; text1b.c math lib
func_80050334   handwritten_overflow_op  addi $v0,$v0,-0x1000; text1b.c math lib
func_80050538   handwritten_overflow_op  add $a0,$a0,$a1; text1b.c math lib
func_80050774   handwritten_overflow_op  addi $v0,$v0,-0x1000; text1b.c math lib
func_80050908   handwritten_overflow_op  add $a0,$a0,$a1; text1b.c math lib
func_80050AB8   handwritten_overflow_op  addi $v0,$v0,-0x1000; text1b.c math lib
func_80050C68   handwritten_overflow_op  add $a0,$a0,$a1; text1b.c math lib
func_80050E60   handwritten_overflow_op  addi $v0,$v0,-0x1000; text1b.c math lib
func_80051010   handwritten_overflow_op  add $a0,$a0,$a1; text1b.c math lib
func_80051208   handwritten_overflow_op  addi $v0,$v0,-0x1000; text1b.c math lib
func_800513B0   handwritten_overflow_op  add $a0,$a0,$a1; text1b.c math lib
func_800515AC   handwritten_overflow_op  addi $v0,$v0,-0x1000; text1b.c math lib
func_80051754   handwritten_overflow_op  add $a0,$a0,$a1; text1b.c math lib
func_80051944   handwritten_overflow_op  add $s6,$s0,$t0; text1b.c math lib
func_80051B04   handwritten_overflow_op  add $s6,$s0,$t1; text1b.c math lib
func_80051D08   handwritten_overflow_op  add $s6,$s0,$t0; text1b.c math lib
func_80051ED4   handwritten_overflow_op  add $s6,$s0,$t0; text1b.c math lib
func_800520B8   handwritten_overflow_op  add $a2,$a2,$t0; text1b.c math lib
func_800523E0   handwritten_overflow_op  sub $s4,$s4,$s3; text1b.c math lib
func_800525D8   handwritten_overflow_op  add $t3,$t3,$t4; text1b.c math lib
func_800526A0   handwritten_overflow_op  addi $t0,$v0,-0x18; text1b.c math lib
func_80052720   handwritten_overflow_op  add $a0,$t0,$t1; text1b.c math lib (sqr+GTE)
func_80052788   handwritten_overflow_op  sub $t3,$t3,$a2; text1b.c math lib
func_800527FC   handwritten_overflow_op  sub $v0,$v0,$a2; text1b.c math lib
func_80052C4C   handwritten_overflow_op  sub $a1,$a1,$t0; text1b.c math lib
func_80054440   handwritten_overflow_op  addi $s4,$s4,0x18; text1b.c math lib (end of block)
func_80078F88   handwritten_overflow_op  addi $v1,$v0,0x884; kernel/BIOS support helper
func_80079028   handwritten_overflow_op  addi $v1,$v0,0x7A0; kernel/BIOS support helper
func_8007E11C   handwritten_overflow_op  sub $t1,$t1,$t2; display.c GTE helper
func_8007E43C   handwritten_overflow_op  sub $t1,$t1,$t2; display.c GTE helper
func_8007E5EC   handwritten_overflow_op  add $t0,$t0,$t3; display.c GTE helper
